game_id,date,away_team,home_team,market_spread_home,baseline_margin,pred_margin_mu,actual_home,actual_away,actual_margin,actual_home_covers,pred_home_covers,ats_correct,actual_home_wins,pred_home_wins,ml_correct,abs_error
2025-10-30-ORL-CHA,2025-10-30,ORL,CHA,3.5,-3.5,-3.6538558453321457,107,123,-16,0,0,1,0,0,1,12.346144154667854
2025-10-30-GSW-MIL,2025-10-30,GSW,MIL,7.5,-7.5,-7.588062010705471,120,110,10,1,0,0,1,0,0,17.58806201070547
2025-10-30-WAS-OKC,2025-10-30,WAS,OKC,-15.5,15.5,15.79292607307434,127,108,19,1,1,1,1,1,1,3.207073926925659
2025-10-30-MIA-SAS,2025-10-30,MIA,SAS,-5.5,5.5,5.838122934103012,107,101,6,1,1,1,1,1,1,0.16187706589698792
2025-11-01-SAC-MIL,2025-11-01,SAC,MIL,-6.5,6.5,6.487007678486407,133,135,-2,0,0,1,0,1,0,8.487007678486407
2025-11-01-MIN-CHA,2025-11-01,MIN,CHA,4.5,-4.5,-4.756218284368515,105,122,-17,0,0,1,0,0,1,12.243781715631485
2025-11-01-GSW-IND,2025-11-01,GSW,IND,10.5,-10.5,-10.031543642282486,114,109,5,1,1,1,1,0,0,15.031543642282486
2025-11-01-ORL-WAS,2025-11-01,ORL,WAS,8.5,-8.5,-8.814064621925354,94,125,-31,0,0,1,0,0,1,22.185935378074646
2025-11-01-HOU-BOS,2025-11-01,HOU,BOS,4.5,-4.5,-3.2171050310134888,101,128,-27,0,1,0,0,0,1,23.78289496898651
2025-11-02-NOP-OKC,2025-11-02,NOP,OKC,-13.5,13.5,13.6247036755085,137,106,31,1,1,1,1,1,1,17.3752963244915
2025-11-02-PHI-BKN,2025-11-02,PHI,BKN,4.5,-4.5,-4.320505559444428,105,129,-24,0,1,0,0,0,1,19.679494440555573
2025-11-02-UTA-CHA,2025-11-02,UTA,CHA,1.5,-1.5,-1.800036609172821,126,103,23,1,0,0,1,0,0,24.80003660917282
2025-11-02-ATL-CLE,2025-11-02,ATL,CLE,-6.5,6.5,7.010760247707367,117,109,8,1,1,1,1,1,1,0.9892397522926331
2025-11-02-MEM-TOR,2025-11-02,MEM,TOR,-4.5,4.5,4.205668449401856,117,104,13,1,0,0,1,1,1,8.794331550598145
2025-11-02-CHI-NYK,2025-11-02,CHI,NYK,-7.5,7.5,7.886083483695984,128,116,12,1,1,1,1,1,1,4.113916516304016
2025-11-02-SAS-PHX,2025-11-02,SAS,PHX,4.5,-4.5,-4.125492870807648,130,118,12,1,1,1,1,0,0,16.125492870807648
2025-11-02-MIA-LAL,2025-11-02,MIA,LAL,-5.5,5.5,5.299045845866203,130,120,10,1,0,0,1,1,1,4.700954154133797
2025-11-03-MIN-BKN,2025-11-03,MIN,BKN,9.5,-9.5,-10.00782996416092,109,125,-16,0,0,1,0,0,1,5.992170035839081
2025-11-03-MIL-IND,2025-11-03,MIL,IND,6.5,-6.5,-6.160657703876495,115,117,-2,1,1,1,0,0,1,4.160657703876495
2025-11-03-UTA-BOS,2025-11-03,UTA,BOS,-10.5,10.5,11.69016420841217,103,105,-2,0,1,0,0,1,0,13.69016420841217
2025-11-03-WAS-NYK,2025-11-03,WAS,NYK,-13.5,13.5,13.845881909132004,119,102,17,1,1,1,1,1,1,3.154118090867996
2025-11-03-DAL-HOU,2025-11-03,DAL,HOU,-12.5,12.5,11.594442188739777,110,102,8,0,0,1,1,1,1,3.5944421887397766
2025-11-03-DET-MEM,2025-11-03,DET,MEM,3.5,-3.5,-3.611144497990608,106,114,-8,0,0,1,0,0,1,4.388855502009392
2025-11-03-SAC-DEN,2025-11-03,SAC,DEN,-11.5,11.5,11.62192452698946,130,124,6,0,1,0,1,1,1,5.62192452698946
2025-11-03-LAL-POR,2025-11-03,LAL,POR,-9.5,9.5,9.67471767961979,115,123,-8,0,1,0,0,1,0,17.67471767961979
2025-11-03-MIA-LAC,2025-11-03,MIA,LAC,-7.5,7.5,7.385499238967895,119,120,-1,0,0,1,0,1,0,8.385499238967896
2025-11-04-MIL-TOR,2025-11-04,MIL,TOR,-2.5,2.5,2.5376873463392258,128,100,28,1,1,1,1,1,1,25.462312653660774
2025-11-04-ORL-ATL,2025-11-04,ORL,ATL,3.5,-3.5,-3.2826047390699387,127,112,15,1,1,1,1,0,0,18.28260473906994
2025-11-04-PHI-CHI,2025-11-04,PHI,CHI,-2.5,2.5,2.567900814116001,113,111,2,0,1,0,1,1,1,0.5679008141160011
2025-11-04-CHA-NOP,2025-11-04,CHA,NOP,-3.5,3.5,3.0104406476020813,116,112,4,1,0,0,1,1,1,0.9895593523979187
2025-11-04-PHX-GSW,2025-11-04,PHX,GSW,-10.5,10.5,10.677703320980072,118,107,11,1,1,1,1,1,1,0.322296679019928
2025-11-04-OKC-LAC,2025-11-04,OKC,LAC,8.5,-8.5,-8.349182665348053,107,126,-19,0,1,0,0,0,1,10.650817334651947
2025-11-05-PHI-CLE,2025-11-05,PHI,CLE,-12.5,12.5,13.019521236419678,132,121,11,0,1,0,1,1,1,2.0195212364196777
2025-11-05-UTA-DET,2025-11-05,UTA,DET,-9.5,9.5,9.568303599953651,114,103,11,1,1,1,1,1,1,1.4316964000463486
2025-11-05-BKN-IND,2025-11-05,BKN,IND,-6.5,6.5,6.601376362144947,103,112,-9,0,1,0,0,1,0,15.601376362144947
2025-11-05-WAS-BOS,2025-11-05,WAS,BOS,-12.5,12.5,13.879671812057495,136,107,29,1,1,1,1,1,1,15.120328187942505
2025-11-05-MIN-NYK,2025-11-05,MIN,NYK,-3.5,3.5,3.897047698497772,137,114,23,1,1,1,1,1,1,19.102952301502228
2025-11-05-HOU-MEM,2025-11-05,HOU,MEM,7.5,-7.5,-7.198126703500748,109,124,-15,0,1,0,0,0,1,7.801873296499252
2025-11-05-NOP-DAL,2025-11-05,NOP,DAL,-7.5,7.5,7.771187961101532,99,101,-2,0,1,0,0,1,0,9.771187961101532
2025-11-05-MIA-DEN,2025-11-05,MIA,DEN,-9.5,9.5,9.282135620713234,122,112,10,1,0,0,1,1,1,0.717864379286766
2025-11-05-SAS-LAL,2025-11-05,SAS,LAL,1.5,-1.5,-1.551010712981224,118,116,2,1,0,0,1,0,0,3.551010712981224
2025-11-05-OKC-POR,2025-11-05,OKC,POR,3.5,-3.5,-3.0431537330150604,121,119,2,1,1,1,1,0,0,5.04315373301506
2025-11-05-GSW-SAC,2025-11-05,GSW,SAC,-2.5,2.5,2.2094966173172,121,116,5,1,0,0,1,1,1,2.7905033826828
2025-11-06-LAC-PHX,2025-11-06,LAC,PHX,-2.5,2.5,1.9219523668289185,115,102,13,1,0,0,1,1,1,11.078047633171082
2025-11-08-DAL-WAS,2025-11-08,DAL,WAS,4.5,-4.5,-4.084922790527344,105,111,-6,0,1,0,0,0,1,1.9150772094726562
2025-11-08-TOR-PHI,2025-11-08,TOR,PHI,-4.5,4.5,4.239389717578888,130,120,10,1,0,0,1,1,1,5.760610282421112
2025-11-08-LAL-ATL,2025-11-08,LAL,ATL,5.5,-5.5,-6.955967307090759,122,102,20,1,0,0,1,0,0,26.95596730709076
2025-11-08-CHI-CLE,2025-11-08,CHI,CLE,-8.5,8.5,8.79426708817482,128,122,6,0,1,0,1,1,1,2.79426708817482
2025-11-08-POR-MIA,2025-11-08,POR,MIA,4.5,-4.5,-4.256853848695755,136,131,5,1,1,1,1,0,0,9.256853848695755
2025-11-08-NOP-SAS,2025-11-08,NOP,SAS,-11.5,11.5,11.860094487667084,126,119,7,0,1,0,1,1,1,4.860094487667084
2025-11-08-IND-DEN,2025-11-08,IND,DEN,-9.5,9.5,8.803404152393341,117,100,17,1,0,0,1,1,1,8.196595847606659
2025-11-08-PHX-LAC,2025-11-08,PHX,LAC,-4.5,4.5,4.256036579608917,103,114,-11,0,0,1,0,1,0,15.256036579608917
