game_id,date,game_time,away_team,home_team,market_spread_home,baseline_margin,pred_margin_mu,actual_home,actual_away,actual_margin,actual_home_covers,pred_home_covers,ats_correct,actual_home_wins,pred_home_wins,ml_correct,abs_error
2024-10-29-SAC-UTA,2024-10-29,,SAC,UTA,6.5,-6.5,-6.012618392705917,96,113,-17,0,1,0,0,0,1,10.987381607294083
2024-10-29-NOP-GSW,2024-10-29,,NOP,GSW,1.5,-1.5,-0.256433367729187,124,106,18,1,1,1,1,0,0,18.256433367729187
2024-10-30-TOR-CHA,2024-10-30,,TOR,CHA,-6.5,6.5,6.534282729029656,138,133,5,0,1,0,1,1,1,1.5342827290296563
2024-10-30-LAL-CLE,2024-10-30,,LAL,CLE,-4.0,4.0,4.174148470163345,134,110,24,1,1,1,1,1,1,19.825851529836655
2024-10-30-BOS-IND,2024-10-30,,BOS,IND,6.5,-6.5,-6.031746655702591,135,132,3,1,1,1,1,0,0,9.031746655702591
2024-10-30-DET-PHI,2024-10-30,,DET,PHI,-4.0,4.0,3.62921604514122,95,105,-10,0,0,1,0,1,0,13.62921604514122
2024-10-30-ATL-WAS,2024-10-30,,ATL,WAS,5.5,-5.5,-5.626076355576515,133,120,13,1,0,0,1,0,0,18.626076355576515
2024-10-30-NYK-MIA,2024-10-30,,NYK,MIA,2.0,-2.0,-1.6094838976860046,107,116,-9,0,1,0,0,0,1,7.390516102313995
2024-10-30-ORL-CHI,2024-10-30,,ORL,CHI,5.5,-5.5,-4.819466590881348,102,99,3,1,1,1,1,0,0,7.819466590881348
2024-10-30-BKN-MEM,2024-10-30,,BKN,MEM,-12.0,12.0,12.05389816313982,106,119,-13,0,1,0,0,1,0,25.05389816313982
2024-10-30-SAS-OKC,2024-10-30,,SAS,OKC,-12.5,12.5,14.280507683753967,105,93,12,0,1,0,1,1,1,2.2805076837539673
2024-10-30-NOP-GSW,2024-10-30,,NOP,GSW,-3.5,3.5,3.934861719608307,104,89,15,1,1,1,1,1,1,11.065138280391693
2024-10-30-POR-LAC,2024-10-30,,POR,LAC,-8.0,8.0,8.037990532815456,105,106,-1,0,1,0,0,1,0,9.037990532815456
2024-10-31-MIL-MEM,2024-10-31,,MIL,MEM,6.5,-6.5,-6.666410803794861,122,99,23,1,0,0,1,0,0,29.66641080379486
2024-10-31-HOU-DAL,2024-10-31,,HOU,DAL,-6.5,6.5,5.907850503921509,102,108,-6,0,0,1,0,1,0,11.907850503921509
2024-10-31-SAS-UTA,2024-10-31,,SAS,UTA,2.0,-2.0,-1.959080778062344,88,106,-18,0,1,0,0,0,1,16.040919221937656
2024-10-31-PHX-LAC,2024-10-31,,PHX,LAC,4.0,-4.0,-3.5733486115932465,119,125,-6,0,1,0,0,0,1,2.4266513884067535
2024-11-01-BOS-CHA,2024-11-01,,BOS,CHA,10.5,-10.5,-10.146501213312147,109,124,-15,0,1,0,0,0,1,4.853498786687853
2024-11-01-ORL-CLE,2024-11-01,,ORL,CLE,-7.0,7.0,6.510481059551239,120,109,11,1,0,0,1,1,1,4.489518940448761
2024-11-01-NYK-DET,2024-11-01,,NYK,DET,6.0,-6.0,-5.438607811927795,98,128,-30,0,1,0,0,0,1,24.561392188072205
2024-11-01-SAC-ATL,2024-11-01,,SAC,ATL,6.0,-6.0,-5.983419038355351,115,123,-8,0,1,0,0,0,1,2.0165809616446486
2024-11-01-CHI-BKN,2024-11-01,,CHI,BKN,-1.0,1.0,0.634600043296814,120,112,8,1,0,0,1,1,1,7.365399956703186
2024-11-01-LAL-TOR,2024-11-01,,LAL,TOR,9.0,-9.0,-9.239087700843813,125,131,-6,1,0,0,0,0,1,3.239087700843813
2024-11-01-IND-NOP,2024-11-01,,IND,NOP,4.5,-4.5,-4.75067937374115,125,118,7,1,0,0,1,0,0,11.75067937374115
2024-11-01-DEN-MIN,2024-11-01,,DEN,MIN,-3.5,3.5,3.874851584434509,119,116,3,0,1,0,1,1,1,0.8748515844345088
2024-11-01-OKC-POR,2024-11-01,,OKC,POR,11.5,-11.5,-12.16142076253891,114,137,-23,0,0,1,0,0,1,10.83857923746109
