total_fga,rim_attempt_rate,corner_3_rate,non_corner_3_rate,pullup_3_rate,catch_shoot_3_rate,short_mid_rate,long_mid_rate,mid_range_rate,ftr,shooting_fouls_per_100,and1_rate,assisted_2pt_rate,assisted_3pt_rate,assists_per_100,turnovers_per_100,ast_to_ratio,steals_per_100,blocks_per_100,def_reb_share,total_fouls_per_100,total_possessions,games_played,season,max_date,player_name
384,0.2786458333333333,0.078125,0.4973958333333333,0.10677083333333333,0.46875,0.1328125,0.013020833333333334,0.14583333333333334,0.13541666666666666,2.2344013490725128,0.26041666666666663,0.7244897959183674,0.9651162790697675,5.016863406408095,1.981450252951096,2.5319148936170213,1.5177065767284992,0.463743676222597,0.0813221406086044,4.5109612141652615,2372,72,2023-2024,2024-04-13,Cedi Osman
945,0.3724867724867725,0.02857142857142857,0.3470899470899471,0.042328042328042326,0.3333333333333333,0.22328042328042327,0.02857142857142857,0.2518518518518518,0.28994708994708995,2.6749411512946715,0.0,0.6494565217391305,0.9770992366412213,4.279905842071474,2.760539268136101,1.550387596899225,1.1341750481489408,4.065910549967901,0.14566145092460883,4.194307725230044,4673,81,2023-2024,2024-04-13,Chet Holmgren
235,0.37872340425531914,0.06382978723404255,0.3276595744680851,0.05531914893617021,0.33617021276595743,0.2127659574468085,0.01702127659574468,0.2297872340425532,0.2723404255319149,2.911978821972204,0.0,0.7362637362637363,0.9285714285714286,3.044341495698213,3.044341495698213,1.0,2.71343481138319,1.0589013898080741,0.12908777969018934,4.698874917273329,1511,50,2023-2024,2024-04-13,Chimezie Metu
217,0.45622119815668205,0.08294930875576037,0.3548387096774194,0.06912442396313365,0.3686635944700461,0.0967741935483871,0.009216589861751152,0.10599078341013825,0.423963133640553,3.5034272658035035,0.0,0.5949367088607594,1.0,1.7517136329017517,2.1325209444021325,0.8214285714285714,1.0662604722010662,1.827875095201828,0.14676113360323886,5.407463823305408,1313,50,2023-2024,2024-04-13,Chris Boucher
207,0.19806763285024154,0.0821256038647343,0.5314009661835749,0.19806763285024154,0.41545893719806765,0.14009661835748793,0.04830917874396135,0.18840579710144928,0.15942028985507245,2.7966742252456536,0.0,0.6666666666666666,0.8863636363636364,3.325774754346183,1.889644746787604,1.76,2.1164021164021163,0.6046863189720333,0.0772238514173998,5.971277399848828,1323,58,2023-2024,2024-04-13,Chris Duarte
457,0.04157549234135667,0.03282275711159737,0.4223194748358862,0.19693654266958424,0.25820568927789933,0.35667396061269147,0.14660831509846828,0.5032822757111597,0.1137855579868709,1.4961725817675715,0.0,0.1693548387096774,0.6708860759493671,13.465553235908143,2.6096033402922756,5.16,2.4356297842727903,0.20876826722338201,0.09214707217430776,3.8622129436325676,2874,57,2023-2024,2024-04-13,Chris Paul
469,0.4626865671641791,0.0767590618336887,0.27078891257995735,0.09808102345415778,0.24946695095948826,0.17270788912579957,0.017057569296375266,0.18976545842217485,0.27292110874200426,2.2106631989596877,0.0,0.7032258064516129,0.9508196721311475,4.128738621586476,1.7555266579973992,2.3518518518518516,1.3003901170351104,1.1378413524057216,0.09261576971214018,4.388816644993498,3076,81,2023-2024,2024-04-13,Christian Braun
264,0.36363636363636365,0.07196969696969698,0.35984848484848486,0.026515151515151516,0.4053030303030303,0.16287878787878787,0.041666666666666664,0.20454545454545456,0.3560606060606061,2.7988338192419824,0.0,0.7613636363636364,0.9714285714285714,2.857142857142857,2.9154518950437316,0.98,0.9329446064139941,1.9241982507288629,0.16589506172839505,4.256559766763848,1715,50,2023-2024,2024-04-13,Christian Wood
111,0.17117117117117117,0.08108108108108109,0.6576576576576577,0.16216216216216217,0.5765765765765766,0.07207207207207207,0.018018018018018018,0.09009009009009009,0.06306306306306306,1.0752688172043012,0.0,0.7647058823529411,0.9565217391304348,2.6881720430107525,2.0161290322580645,1.3333333333333333,1.2096774193548387,0.9408602150537635,0.09642301710730948,2.553763440860215,744,46,2023-2024,2024-04-13,Chuma Okeke
618,0.8284789644012945,0.0,0.003236245954692557,0.0016181229773462784,0.0016181229773462784,0.16666666666666666,0.0016181229773462784,0.16828478964401294,0.3333333333333333,2.3776610450649707,0.16181229773462785,0.6798866855524079,0.0,2.51589715233619,2.045894387614045,1.2297297297297298,1.1888305225324853,2.9306054741498477,0.15663937344250622,4.534144318495991,3617,73,2023-2024,2024-04-13,Clint Capela
1191,0.2804366078925273,0.03526448362720403,0.44080604534005036,0.16624685138539042,0.30982367758186397,0.20906801007556675,0.03442485306465155,0.2434928631402183,0.21662468513853905,1.881359186024189,0.0,0.2848101265822785,0.8215962441314554,7.698214628527548,3.1483970051833365,2.4451219512195124,0.998272221155692,0.34555576886158573,0.07662082514734773,3.6091380303321174,5209,78,2023-2024,2024-04-13,Coby White
215,0.2930232558139535,0.08372093023255814,0.33488372093023255,0.12093023255813953,0.29767441860465116,0.2,0.08837209302325581,0.28837209302325584,0.15348837209302327,2.2238695329873983,0.0,0.42592592592592593,0.7142857142857143,7.70941438102298,3.261675315048184,2.3636363636363638,2.3721275018532246,1.3343217197924389,0.08042895442359249,3.558191252779837,1349,28,2023-2024,2024-04-13,Cody Martin
62,0.7580645161290323,0.0,0.06451612903225806,0.016129032258064516,0.04838709677419355,0.1774193548387097,0.0,0.1774193548387097,0.6129032258064516,3.9800995024875623,0.0,0.56,1.0,6.301824212271974,2.4875621890547266,2.533333333333333,1.4925373134328357,0.8291873963515755,0.13675213675213677,7.2968490878938645,603,41,2023-2024,2024-04-13,Cody Zeller
68,0.29411764705882354,0.04411764705882353,0.27941176470588236,0.014705882352941176,0.3088235294117647,0.36764705882352944,0.014705882352941176,0.38235294117647056,0.1323529411764706,4.848484848484849,0.0,0.5652173913043478,1.0,5.757575757575758,3.0303030303030303,1.9,2.1212121212121215,1.2121212121212122,0.08029197080291971,8.787878787878787,330,29,2023-2024,2024-04-13,Colby Jones
753,0.20849933598937584,0.03718459495351926,0.3293492695883134,0.07569721115537849,0.2908366533864542,0.37317397078353254,0.05179282868525897,0.4249667994687915,0.2868525896414343,2.689486552567237,0.13280212483399734,0.27350427350427353,0.8924731182795699,7.090464547677261,3.8202933985330074,1.856,1.8948655256723717,1.13080684596577,0.09955120359037127,5.3178484107579465,3272,80,2023-2024,2024-04-13,Cole Anthony
1038,0.3111753371868979,0.038535645472061654,0.27552986512524086,0.13776493256262043,0.17630057803468208,0.34104046242774566,0.03371868978805395,0.37475915221579964,0.35645472061657035,1.757910597689603,0.09633911368015415,0.41798941798941797,0.8046875,9.618282270215971,4.143646408839778,2.3212121212121213,1.55700652938222,0.45203415369161226,0.046143250688705235,3.89251632345555,3982,78,2023-2024,2024-04-13,Collin Sexton
785,0.2585987261146497,0.09554140127388536,0.5095541401273885,0.15286624203821655,0.45222929936305734,0.13121019108280255,0.005095541401273885,0.13630573248407643,0.19745222929936307,2.1665361524406164,0.0,0.7487437185929648,0.967391304347826,3.86322109109893,2.5580788305925344,1.510204081632653,1.044113808405116,0.41764552336204647,0.06254071661237785,3.6805011746280343,3831,79,2023-2024,2024-04-13,Corey Kispert
64,0.09375,0.109375,0.546875,0.078125,0.578125,0.1875,0.0625,0.25,0.109375,2.6362038664323375,0.0,0.6,0.9230769230769231,7.381370826010544,2.10896309314587,3.5,0.7029876977152899,0.5272407732864675,0.05555555555555555,4.393673110720562,569,26,2023-2024,2024-04-13,Cory Joseph
162,0.3395061728395062,0.012345679012345678,0.15432098765432098,0.12345679012345678,0.043209876543209874,0.4012345679012346,0.09259259259259259,0.49382716049382713,0.20987654320987653,2.338530066815145,0.0,0.38571428571428573,0.8888888888888888,9.57683741648107,3.6748329621380846,2.606060606060606,1.447661469933185,1.0022271714922049,0.09923664122137404,2.783964365256125,898,39,2023-2024,2024-04-13,Craig Porter Jr.
1082,0.18576709796672827,0.036044362292051754,0.4658040665434381,0.23290203327171904,0.2689463955637708,0.2643253234750462,0.04805914972273567,0.3123844731977819,0.17744916820702403,1.5497553017944536,0.0,0.376865671641791,0.7276785714285714,9.88988580750408,3.2218597063621535,3.069620253164557,1.4070146818923328,0.734094616639478,0.056451612903225805,3.262642740619902,4904,76,2023-2024,2024-04-13,D'Angelo Russell
474,0.34810126582278483,0.03164556962025317,0.35864978902953587,0.1350210970464135,0.2552742616033755,0.229957805907173,0.03164556962025317,0.2616033755274262,0.24050632911392406,2.1058315334773217,0.0,0.34558823529411764,0.8333333333333334,6.479481641468683,3.8876889848812093,1.6666666666666667,1.6198704103671708,1.079913606911447,0.09331476323119778,3.4017278617710582,1852,53,2023-2024,2024-04-13,Dalano Banton
