player_name,cluster,cluster_name,games_played
Malik Beasley,3,Low-Usage Corner Specialist (Off-Ball),78
Malik Monk,8,Primary Shot-Creating Guard (Facilitator),72
MarJon Beauchamp,14,Two-Way Wing,47
Marcus Morris Sr.,2,Pull-Up Shooter,48
Marcus Sasser,8,Primary Shot-Creating Guard (Facilitator),70
Markelle Fultz,0,Primary Mid-Range Playmaker (Facilitator),42
Markieff Morris,2,Pull-Up Shooter,25
Marvin Bagley III,17,Low-Usage Defensive Anchor (Defensive),50
Mason Plumlee,24,Post-Up Center (Aggressive),45
Matisse Thybulle,4,Corner Specialist (Off-Ball),65
Matt Ryan,-1,Other / Unique Stars,27
Max Christie,2,Pull-Up Shooter,67
Max Strus,3,Low-Usage Corner Specialist (Off-Ball),69
Maxi Kleber,15,Low-Usage 3&D Wing (Defensive),43
Maxwell Lewis,22,Role Player,34
Michael Porter Jr.,2,Pull-Up Shooter,80
Mikal Bridges,22,Role Player,81
Mike Conley,8,Primary Shot-Creating Guard (Facilitator),75
Mike Muscala,15,Low-Usage 3&D Wing (Defensive),52
Miles Bridges,22,Role Player,69
Miles McBride,4,Corner Specialist (Off-Ball),67
Mitchell Robinson,24,Post-Up Center (Aggressive),30
Mo Bamba,17,Low-Usage Defensive Anchor (Defensive),56
Monte Morris,-1,Other / Unique Stars,32
Moritz Wagner,17,Low-Usage Defensive Anchor (Defensive),79
Moses Moody,14,Two-Way Wing,65
Myles Turner,15,Low-Usage 3&D Wing (Defensive),77
Naji Marshall,1,Scoring Big,66
Nassir Little,18,Corner Specialist (Off-Ball),44
Nathan Mensah,6,Low-Usage Rim-Running Center (Defensive),25
Naz Reid,15,Low-Usage 3&D Wing (Defensive),80
Neemias Queta,6,Low-Usage Rim-Running Center (Defensive),27
Nic Claxton,17,Low-Usage Defensive Anchor (Defensive),70
Nick Richards,24,Post-Up Center (Aggressive),67
Nick Smith Jr.,2,Pull-Up Shooter,50
Nickeil Alexander-Walker,4,Corner Specialist (Off-Ball),81
Nicolas Batum,4,Corner Specialist (Off-Ball),59
Nikola Jokic,12,High-Usage Slashing Wing,78
Nikola Jovic,18,Corner Specialist (Off-Ball),45
Nikola Vucevic,10,Mid-Range Scorer (Defensive),75
Norman Powell,2,Pull-Up Shooter,76
OG Anunoby,18,Corner Specialist (Off-Ball),49
Obi Toppin,18,Corner Specialist (Off-Ball),82
Ochai Agbaji,18,Corner Specialist (Off-Ball),77
Olivier-Maxence Prosper,-1,Other / Unique Stars,39
Omer Yurtseven,10,Mid-Range Scorer (Defensive),47
Onyeka Okongwu,17,Low-Usage Defensive Anchor (Defensive),55
Orlando Robinson,12,High-Usage Slashing Wing,35
Oshae Brissett,1,Scoring Big,54
Ousmane Dieng,3,Low-Usage Corner Specialist (Off-Ball),32
P.J. Tucker,4,Corner Specialist (Off-Ball),30
P.J. Washington,15,Low-Usage 3&D Wing (Defensive),73
Paolo Banchero,11,High-Usage Scoring Guard (Self-Creator),79
Pascal Siakam,10,Mid-Range Scorer (Defensive),79
Pat Connaughton,3,Low-Usage Corner Specialist (Off-Ball),75
Patrick Baldwin Jr.,15,Low-Usage 3&D Wing (Defensive),37
Patrick Beverley,19,High-Usage Versatile Role Player (Facilitator),72
Patrick Williams,22,Role Player,43
Patty Mills,13,Pull-Up Shooter (Defensive),31
Paul George,11,High-Usage Scoring Guard (Self-Creator),74
Paul Reed,17,Low-Usage Defensive Anchor (Defensive),81
Payton Pritchard,8,Primary Shot-Creating Guard (Facilitator),81
Peyton Watson,15,Low-Usage 3&D Wing (Defensive),79
Precious Achiuwa,14,Two-Way Wing,73
Quentin Grimes,3,Low-Usage Corner Specialist (Off-Ball),51
RJ Barrett,1,Scoring Big,58
Rayan Rupert,1,Scoring Big,38
Reggie Bullock Jr.,3,Low-Usage Corner Specialist (Off-Ball),43
Reggie Jackson,23,Primary Scoring Guard (Facilitator),81
Richaun Holmes,17,Low-Usage Defensive Anchor (Defensive),40
Ricky Council IV,1,Scoring Big,31
Robert Covington,16,Scoring Big (Defensive),29
Royce O'Neale,3,Low-Usage Corner Specialist (Off-Ball),78
Rudy Gobert,24,Post-Up Center (Aggressive),75
Rui Hachimura,15,Low-Usage 3&D Wing (Defensive),68
Russell Westbrook,19,High-Usage Versatile Role Player (Facilitator),68
Saddiq Bey,18,Corner Specialist (Off-Ball),63
Sam Hauser,3,Low-Usage Corner Specialist (Off-Ball),78
Sam Merrill,3,Low-Usage Corner Specialist (Off-Ball),61
Sandro Mamukelashvili,15,Low-Usage 3&D Wing (Defensive),45
Santi Aldama,15,Low-Usage 3&D Wing (Defensive),61
Sasha Vezenkov,3,Low-Usage Corner Specialist (Off-Ball),41
Scoot Henderson,11,High-Usage Scoring Guard (Self-Creator),62
Scottie Barnes,19,High-Usage Versatile Role Player (Facilitator),60
Seth Curry,2,Pull-Up Shooter,43
Shaedon Sharpe,22,Role Player,32
Shai Gilgeous-Alexander,11,High-Usage Scoring Guard (Self-Creator),74
Shake Milton,1,Scoring Big,48
Simone Fontecchio,18,Corner Specialist (Off-Ball),66
